Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2021-05-14,Z (Dec 2021),24.3700,24.6500,23.3200,23.4300,23.50,-1.00,809,0,3490
2021-05-17,Z (Dec 2021),23.6000,24.5500,23.4500,24.0900,24.25,0.75,3319,0,5214
2021-05-18,Z (Dec 2021),23.8500,24.7500,23.8000,24.5600,24.70,0.45,927,0,5379
2021-05-19,Z (Dec 2021),24.6500,25.8200,24.6500,25.0000,24.80,0.10,2461,0,5461
2021-05-20,Z (Dec 2021),25.0000,25.1000,24.2700,24.4200,24.45,-0.35,1713,0,5918
2021-05-21,Z (Dec 2021),24.4400,24.4500,24.1200,24.3000,24.35,-0.10,1429,0,6396
2021-05-24,Z (Dec 2021),24.3500,24.3500,23.6300,23.6700,23.775,-0.575,886,0,6599
2021-05-25,Z (Dec 2021),23.7500,24.1000,23.7000,23.9400,24.05,0.275,981,0,6803
2021-05-26,Z (Dec 2021),23.9500,23.9500,23.4500,23.5000,23.5032,-0.5468,877,0,6796
2021-05-27,Z (Dec 2021),23.5500,23.7500,23.0200,23.0500,23.1183,-0.3849,1295,0,7181
2021-05-28,Z (Dec 2021),23.0500,23.3500,22.9100,23.2500,23.3053,0.1870,1072,0,7491
2021-06-01,Z (Dec 2021),23.3000,23.4600,23.0500,23.3000,23.4475,0.1422,1365,0,7843
2021-06-02,Z (Dec 2021),23.2700,23.6300,23.1800,23.6100,23.5778,0.1303,937,0,7859
2021-06-03,Z (Dec 2021),23.5700,23.8500,23.5100,23.7500,23.80,0.2222,1100,0,7780
2021-06-04,Z (Dec 2021),23.7500,23.8500,23.2000,23.3500,23.2012,-0.5988,1179,0,8005
2021-06-07,Z (Dec 2021),23.3500,23.4000,23.0500,23.0500,23.1133,-0.0879,609,0,8067
2021-06-08,Z (Dec 2021),23.0500,23.3000,22.8000,23.1300,23.0539,-0.0594,1530,0,8129
2021-06-09,Z (Dec 2021),23.1000,23.4000,23.0200,23.2500,23.2714,0.2175,1853,0,8385
2021-06-10,Z (Dec 2021),23.2000,23.3500,22.3700,22.5000,22.45,-0.8214,1959,0,8445
2021-06-11,Z (Dec 2021),22.5000,22.5000,22.0500,22.2000,22.2444,-0.2056,1565,0,8547
2021-06-14,Z (Dec 2021),22.2300,22.5600,22.1500,22.3900,22.35,0.1056,4235,0,11383
2021-06-15,Z (Dec 2021),22.4000,22.6200,22.2900,22.3900,22.4235,0.0735,2643,0,8153
